measure,location,sampleDate,unit,value,id
Ammonium,Achara,10-Apr-10,mg/l,0.031,2492
Ammonium,Achara,10-Dec-09,mg/l,0.234,2441
Ammonium,Achara,10-Dec-10,mg/l,0.155,2609
Ammonium,Achara,10-Dec-11,mg/l,0.089,2788
Ammonium,Achara,10-Dec-12,mg/l,0.153,2967
Ammonium,Achara,10-Dec-16,mg/l,0.11,3711
Ammonium,Achara,10-Feb-12,mg/l,0.275,2808
Ammonium,Achara,10-Sep-09,mg/l,0.132,2404
Ammonium,Achara,11-Aug-11,mg/l,0.027,2726
Ammonium,Achara,11-Dec-10,mg/l,0.155,2610
Ammonium,Achara,11-Feb-10,mg/l,0.07,2463
Ammonium,Achara,11-Feb-11,mg/l,0.216,2635
Ammonium,Achara,11-Jul-09,mg/l,0.039,2379
Ammonium,Achara,11-Jun-11,mg/l,0.076,2693
Ammonium,Achara,11-Jun-16,mg/l,0.05,3605
Ammonium,Achara,11-Nov-11,mg/l,0.279,2766
Ammonium,Achara,11-Oct-09,mg/l,0.031,2417
Ammonium,Achara,12-Apr-13,mg/l,0.036,3018
Ammonium,Achara,12-Aug-10,mg/l,0.163,2544
Ammonium,Achara,12-Dec-14,mg/l,0.216,3332
Ammonium,Achara,12-Feb-16,mg/l,0.06,3547
Ammonium,Achara,12-Jun-09,mg/l,0.016,2367
Ammonium,Achara,12-Mar-16,mg/l,0.04,3563
Ammonium,Achara,13-Aug-09,mg/l,0.093,2392
Ammonium,Achara,13-Dec-13,mg/l,0.421,3138
Ammonium,Achara,13-Feb-09,mg/l,0.086,2319
Ammonium,Achara,13-Mar-10,mg/l,0.528,2478
Ammonium,Achara,13-Mar-15,mg/l,0.049,3371
Ammonium,Achara,13-May-11,mg/l,0.108,2679
Ammonium,Achara,13-May-16,mg/l,0.16,3590
Ammonium,Achara,13-Nov-10,mg/l,0.054,2592
Ammonium,Achara,13-Oct-11,mg/l,0.097,2753
Ammonium,Achara,14-Jul-11,mg/l,0,2710
Ammonium,Achara,14-Jun-13,mg/l,0.073,3043
Ammonium,Achara,14-Mar-13,mg/l,0.037,3005
Ammonium,Achara,14-Oct-10,mg/l,0.023,2573
Ammonium,Achara,14-Sep-11,mg/l,0,2741
Ammonium,Achara,15-Dec-11,mg/l,0.053,2791
Ammonium,Achara,15-Feb-13,mg/l,0,2993
Ammonium,Achara,15-Feb-14,mg/l,0.216,3160
Ammonium,Achara,15-Jan-09,mg/l,0.552,2310
Ammonium,Achara,15-Jan-16,mg/l,0.13,3533
Ammonium,Achara,15-Mar-12,mg/l,0.912,2824
Ammonium,Achara,15-May-10,mg/l,0.093,2506
Ammonium,Achara,15-May-15,mg/l,0.21,3404
Ammonium,Achara,15-Nov-13,mg/l,0.041,3120
Ammonium,Achara,16-Apr-10,mg/l,0.28,2494
Ammonium,Achara,16-Apr-11,mg/l,0,2670
Ammonium,Achara,16-Apr-16,mg/l,0.14,3582
Ammonium,Achara,16-Aug-12,mg/l,0,2900
Ammonium,Achara,16-Aug-13,mg/l,0.033,3078
Ammonium,Achara,16-Aug-14,mg/l,0,3249
Ammonium,Achara,16-Jan-10,mg/l,0.451,2451
Ammonium,Achara,16-Jan-14,mg/l,0.43,3150
Ammonium,Achara,16-Jul-10,mg/l,0.085,2532
Ammonium,Achara,16-Jul-15,mg/l,0.063,3435
Ammonium,Achara,16-Jul-16,mg/l,0.04,3626
Ammonium,Achara,16-Jun-12,mg/l,0.288,2873
Ammonium,Achara,16-May-13,mg/l,0.045,3032
Ammonium,Achara,16-May-14,mg/l,0.051,3206
Ammonium,Achara,16-Nov-12,mg/l,0.106,2949
Ammonium,Achara,16-Oct-10,mg/l,0.016,2578
Ammonium,Achara,16-Oct-15,mg/l,0.073,3486
Ammonium,Achara,16-Sep-16,mg/l,0.078,3661
Ammonium,Achara,17-Apr-09,mg/l,0.125,2342
Ammonium,Achara,17-Feb-12,mg/l,0.097,2814
Ammonium,Achara,17-Jan-13,mg/l,0.114,2980
Ammonium,Achara,17-Jan-15,mg/l,0.316,3346
Ammonium,Achara,17-Jun-10,mg/l,0.047,2519
Ammonium,Achara,17-Jun-11,mg/l,0.041,2695
Ammonium,Achara,17-Mar-12,mg/l,0.322,2830
Ammonium,Achara,17-May-09,mg/l,0.211,2358
Ammonium,Achara,17-Oct-14,mg/l,0.062,3290
Ammonium,Achara,17-Sep-10,mg/l,0.109,2565
Ammonium,Achara,18-Apr-14,mg/l,0.215,3192
Ammonium,Achara,18-Apr-15,mg/l,0.055,3392
Ammonium,Achara,18-Aug-10,mg/l,0.101,2549
Ammonium,Achara,18-Feb-11,mg/l,0.139,2640
Ammonium,Achara,18-Jul-13,mg/l,0.04,3062
Ammonium,Achara,18-Jul-14,mg/l,0.037,3237
Ammonium,Achara,18-Mar-11,mg/l,0.157,2654
Ammonium,Achara,18-Oct-12,mg/l,0.035,2930
Ammonium,Achara,18-Oct-13,mg/l,0,3103
Ammonium,Achara,18-Sep-15,mg/l,0.065,3468
Ammonium,Achara,19-Mar-09,mg/l,0.07,2335
Ammonium,Achara,19-Mar-10,mg/l,0.023,2481
Ammonium,Achara,19-Mar-14,mg/l,0,3174
Ammonium,Achara,19-May-12,mg/l,0,2860
Ammonium,Achara,19-Nov-09,mg/l,0.39,2431
Ammonium,Achara,19-Nov-10,mg/l,0.109,2596
Ammonium,Achara,19-Nov-16,mg/l,0.11,3697
Ammonium,Achara,19-Sep-14,mg/l,0.026,3277
Ammonium,Achara,20-Aug-16,mg/l,0.056,3648
Ammonium,Achara,20-Feb-10,mg/l,0.062,2469
Ammonium,Achara,20-Jan-12,mg/l,0.146,2800
Ammonium,Achara,20-Jun-14,mg/l,0.087,3223
Ammonium,Achara,20-Jun-15,mg/l,0.35,3425
Ammonium,Achara,20-May-10,mg/l,0.218,2510
Ammonium,Achara,20-Nov-15,mg/l,0.11,3506
Ammonium,Achara,21-Apr-12,mg/l,0,2844
Ammonium,Achara,21-Feb-10,mg/l,0.062,2471
Ammonium,Achara,21-Feb-15,mg/l,0,3363
Ammonium,Achara,21-Jan-11,mg/l,0.105,2625
Ammonium,Achara,21-Jan-12,mg/l,0.131,2801
Ammonium,Achara,21-Jul-12,mg/l,0.035,2889
Ammonium,Achara,21-Nov-14,mg/l,0.15,3313
Ammonium,Achara,21-Oct-12,mg/l,0.34,2932
Ammonium,Achara,21-Sep-12,mg/l,0,2917
Ammonium,Achara,21-Sep-13,mg/l,0.067,3093
Ammonium,Achara,22-Apr-11,mg/l,0.028,2671
Ammonium,Achara,22-Aug-15,mg/l,0.108,3459
Ammonium,Achara,22-Jan-11,mg/l,0.219,2626
Ammonium,Achara,22-Nov-12,mg/l,0.09,2954
Ammonium,Achara,22-Oct-10,mg/l,0.148,2582
Ammonium,Achara,22-Oct-16,mg/l,0.089,3684
Ammonium,Achara,26-Aug-12,mg/l,0,2907
Ammonium,Achara,26-Nov-11,mg/l,0.041,2777
Ammonium,Achara,27-May-11,mg/l,0.073,2690
Ammonium,Achara,27-May-12,mg/l,0.15,2866
Ammonium,Achara,27-Sep-12,mg/l,0.08,2920
Ammonium,Achara,28-Jun-12,mg/l,0.065,2878
Ammonium,Achara,28-Sep-11,mg/l,0,2746
Ammonium,Achara,29-Apr-12,mg/l,0,2851
Ammonium,Achara,30-Jun-10,mg/l,0.006,2526
Ammonium,Achara,31-Mar-11,mg/l,0.038,2661
Ammonium,Achara,4-Aug-11,mg/l,0.069,2722
Ammonium,Achara,7-Apr-10,mg/l,0.023,2488
Ammonium,Achara,7-Dec-12,mg/l,0.107,2960
Ammonium,Achara,8-Apr-10,mg/l,0.07,2489
Ammonium,Achara,8-Jul-10,mg/l,0.085,2528
Ammonium,Achara,8-Jul-12,mg/l,0.066,2881
Ammonium,Achara,8-Oct-11,mg/l,0.078,2750
Ammonium,Achara,9-Dec-15,mg/l,0.18,3518
Ammonium,Achara,9-Jul-11,mg/l,0.028,2708
Ammonium,Achara,9-Sep-10,mg/l,0.039,2560
Anionic active surfactants,Achara,10-Dec-16,mg/l,0,4807
Anionic active surfactants,Achara,11-Jul-09,mg/l,0.034,4305
Anionic active surfactants,Achara,11-Jun-16,mg/l,0,4766
Anionic active surfactants,Achara,11-Oct-09,mg/l,0.034,4334
Anionic active surfactants,Achara,12-Feb-16,mg/l,0,4739
Anionic active surfactants,Achara,12-Jun-09,mg/l,0.034,4295
Anionic active surfactants,Achara,13-Feb-09,mg/l,0.034,4257
Anionic active surfactants,Achara,15-Jan-09,mg/l,0.034,4249
Anionic active surfactants,Achara,16-Apr-16,mg/l,0,4756
Anionic active surfactants,Achara,17-Apr-09,mg/l,0.034,4276
Anionic active surfactants,Achara,19-Mar-09,mg/l,0.034,4270
Anionic active surfactants,Achara,19-Nov-09,mg/l,0.034,4345
Anionic active surfactants,Achara,20-Aug-16,mg/l,0,4782
Anionic active surfactants,Achara,22-Oct-16,mg/l,0,4798
Arsenic,Achara,10-Dec-11,ug/l,1.4,5428
Arsenic,Achara,10-Dec-12,ug/l,0,5472
Arsenic,Achara,11-Aug-11,ug/l,2.4,5401
Arsenic,Achara,11-Dec-10,ug/l,0.5,5335
Arsenic,Achara,11-Feb-11,ug/l,1,5349
Arsenic,Achara,11-Jul-09,ug/l,1.4,5223
Arsenic,Achara,11-Jun-11,ug/l,1.3,5382
Arsenic,Achara,11-Nov-11,ug/l,0,5419
Arsenic,Achara,11-Oct-09,ug/l,1,5238
Arsenic,Achara,12-Apr-13,ug/l,0,5484
Arsenic,Achara,12-Aug-10,ug/l,1.8,5306
Arsenic,Achara,12-Jun-09,ug/l,0.5,5216
Arsenic,Achara,13-Dec-13,ug/l,0,5510
Arsenic,Achara,13-Feb-09,ug/l,0.5,5201
Arsenic,Achara,13-May-11,ug/l,0,5375
Arsenic,Achara,13-Oct-11,ug/l,1.8,5414
Arsenic,Achara,14-Jul-11,ug/l,1.2,5393
Arsenic,Achara,14-Jun-13,ug/l,0,5490
Arsenic,Achara,14-Mar-13,ug/l,0,5481
Arsenic,Achara,14-Sep-11,ug/l,1.2,5407
Arsenic,Achara,15-Feb-13,ug/l,0,5478
Arsenic,Achara,15-Jan-09,ug/l,0.5,5199
Arsenic,Achara,15-Nov-13,ug/l,0,5507
Arsenic,Achara,16-Apr-10,ug/l,0.5,5276
Arsenic,Achara,16-Apr-11,ug/l,1,5371
Arsenic,Achara,16-Aug-12,ug/l,1.6,5461
Arsenic,Achara,16-Aug-13,ug/l,2.1,5497
Arsenic,Achara,16-Jan-10,ug/l,0.5,5255
Arsenic,Achara,16-Jul-10,ug/l,1.7,5299
Arsenic,Achara,16-Jun-12,ug/l,0,5455
Arsenic,Achara,16-May-13,ug/l,0,5487
Arsenic,Achara,16-Nov-12,ug/l,1.4,5469
Arsenic,Achara,17-Apr-09,ug/l,1.7,5205
Arsenic,Achara,17-Feb-12,ug/l,0,5441
Arsenic,Achara,17-Jan-13,ug/l,0,5476
Arsenic,Achara,17-Jun-10,ug/l,0.8,5292
Arsenic,Achara,17-Jun-11,ug/l,1.2,5384
Arsenic,Achara,17-Mar-12,ug/l,0,5445
Arsenic,Achara,17-Sep-10,ug/l,1,5315
Arsenic,Achara,18-Feb-11,ug/l,1,5352
Arsenic,Achara,18-Jul-13,ug/l,1,5493
Arsenic,Achara,18-Mar-11,ug/l,1,5359
Arsenic,Achara,18-Oct-13,ug/l,0,5504
Arsenic,Achara,19-Mar-09,ug/l,0.5,5204
Arsenic,Achara,19-Mar-10,ug/l,0.5,5270
Arsenic,Achara,19-May-12,ug/l,0,5451
Arsenic,Achara,19-Nov-09,ug/l,0.5,5247
Arsenic,Achara,19-Nov-10,ug/l,1.5,5329
Arsenic,Achara,20-Feb-10,ug/l,0.5,5265
Arsenic,Achara,20-Jan-12,ug/l,0,5432
Arsenic,Achara,20-May-10,ug/l,1.3,5286
Arsenic,Achara,21-Apr-12,ug/l,0,5449
Arsenic,Achara,21-Jan-11,ug/l,1,5343
Arsenic,Achara,21-Jul-12,ug/l,0,5459
Arsenic,Achara,21-Oct-12,ug/l,0,5466
Arsenic,Achara,21-Sep-12,ug/l,1.3,5464
Arsenic,Achara,21-Sep-13,ug/l,1.1,5499
Arsenic,Achara,22-Oct-10,ug/l,1.5,5323
Arsenic,Achara,27-May-11,ug/l,1.3,5381
Arsenic,Achara,28-Sep-11,ug/l,1.7,5410
Arsenic,Achara,31-Mar-11,ug/l,1,5363
Arsenic,Achara,8-Oct-11,ug/l,2.2,5413
Atrazine,Achara,10-Dec-16,ug/l,0,6668
Atrazine,Achara,11-Jun-16,ug/l,0,6608
Atrazine,Achara,12-Apr-13,ug/l,0,6306
Atrazine,Achara,12-Dec-14,ug/l,0,6454
Atrazine,Achara,12-Feb-16,ug/l,0,6572
Atrazine,Achara,12-Mar-16,ug/l,0,6584
Atrazine,Achara,13-Mar-15,ug/l,0,6474
Atrazine,Achara,13-May-16,ug/l,0,6597
Atrazine,Achara,14-Jun-13,ug/l,0,6319
Atrazine,Achara,14-Mar-13,ug/l,0,6298
Atrazine,Achara,15-Feb-13,ug/l,0,6290
Atrazine,Achara,15-Feb-14,ug/l,0,6365
Atrazine,Achara,15-Jan-16,ug/l,0,6565
Atrazine,Achara,15-May-15,ug/l,0,6495
Atrazine,Achara,16-Apr-16,ug/l,0,6593
Atrazine,Achara,16-Aug-13,ug/l,0,6330
Atrazine,Achara,16-Aug-14,ug/l,0,6417
Atrazine,Achara,16-Jan-14,ug/l,0,6358
Atrazine,Achara,16-Jul-15,ug/l,0,6513
Atrazine,Achara,16-Jul-16,ug/l,0,6620
Atrazine,Achara,16-May-13,ug/l,0,6314
Atrazine,Achara,16-May-14,ug/l,0,6393
Atrazine,Achara,16-Oct-15,ug/l,0,6538
Atrazine,Achara,16-Sep-16,ug/l,0,6638
Atrazine,Achara,17-Jan-13,ug/l,0,6285
Atrazine,Achara,17-Jan-15,ug/l,0,6460
Atrazine,Achara,17-Oct-14,ug/l,0,6436
Atrazine,Achara,18-Apr-14,ug/l,0.213,6385
Atrazine,Achara,18-Apr-15,ug/l,0,6487
Atrazine,Achara,18-Jul-13,ug/l,0,6323
Atrazine,Achara,18-Jul-14,ug/l,0,6411
Atrazine,Achara,18-Sep-15,ug/l,0,6526
Atrazine,Achara,19-Mar-14,ug/l,0,6376
Atrazine,Achara,19-Nov-16,ug/l,0,6661
Atrazine,Achara,19-Sep-14,ug/l,0,6429
Atrazine,Achara,20-Aug-16,ug/l,0,6630
Atrazine,Achara,20-Jun-14,ug/l,0,6402
Atrazine,Achara,20-Jun-15,ug/l,0,6505
Atrazine,Achara,20-Nov-15,ug/l,0,6550
Atrazine,Achara,21-Feb-15,ug/l,0,6470
Atrazine,Achara,21-Nov-14,ug/l,0,6446
Atrazine,Achara,21-Sep-13,ug/l,0,6336
Atrazine,Achara,22-Aug-15,ug/l,0,6519
Atrazine,Achara,22-Oct-16,ug/l,0,6652
Atrazine,Achara,9-Dec-15,ug/l,0,6555
Bicarbonates,Achara,10-Dec-09,mg/l,122,8172
Bicarbonates,Achara,10-Dec-16,mg/l,105.6,8616
Bicarbonates,Achara,10-Sep-09,mg/l,115.9,8158
Bicarbonates,Achara,11-Jul-09,mg/l,109.8,8147
Bicarbonates,Achara,11-Jun-16,mg/l,115.9,8576
Bicarbonates,Achara,11-Oct-09,mg/l,97.6,8162
Bicarbonates,Achara,12-Dec-14,mg/l,146.4,8472
Bicarbonates,Achara,12-Feb-16,mg/l,122,8551
Bicarbonates,Achara,12-Jun-09,mg/l,122,8142
Bicarbonates,Achara,13-Aug-09,mg/l,115.9,8152
Bicarbonates,Achara,13-Feb-09,mg/l,91.5,8118
Bicarbonates,Achara,15-Jan-09,mg/l,134.2,8113
Bicarbonates,Achara,16-Apr-16,mg/l,109.8,8566
Bicarbonates,Achara,16-Aug-14,mg/l,128.1,8433
Bicarbonates,Achara,16-Jan-14,mg/l,170.8,8393
Bicarbonates,Achara,16-Oct-15,mg/l,140.3,8530
Bicarbonates,Achara,17-Apr-09,mg/l,109.8,8129
Bicarbonates,Achara,17-May-09,mg/l,122,8137
Bicarbonates,Achara,17-Oct-14,mg/l,134.2,8450
Bicarbonates,Achara,18-Apr-14,mg/l,134.2,8409
Bicarbonates,Achara,18-Apr-15,mg/l,109.8,8495
Bicarbonates,Achara,19-Mar-09,mg/l,97.6,8126
Bicarbonates,Achara,19-Nov-09,mg/l,109.8,8167
Bicarbonates,Achara,20-Aug-16,mg/l,97.6,8592
Bicarbonates,Achara,20-Jun-14,mg/l,85.4,8421
Bicarbonates,Achara,20-Jun-15,mg/l,109.8,8509
Bicarbonates,Achara,21-Feb-15,mg/l,115.9,8485
Bicarbonates,Achara,22-Aug-15,mg/l,128.1,8520
Bicarbonates,Achara,22-Oct-16,mg/l,109.8,8607
Biochemical Oxygen,Achara,10-Dec-09,mg/l,2.7,9752
Biochemical Oxygen,Achara,10-Dec-12,mg/l,2.6,10185
Biochemical Oxygen,Achara,10-Dec-16,mg/l,1.2,10866
Biochemical Oxygen,Achara,10-Feb-12,mg/l,2.4,10039
Biochemical Oxygen,Achara,10-Sep-09,mg/l,2.1,9716
Biochemical Oxygen,Achara,11-Aug-11,mg/l,3.5,9970
Biochemical Oxygen,Achara,11-Dec-10,mg/l,2.7,9875
Biochemical Oxygen,Achara,11-Feb-11,mg/l,2.4,9897
Biochemical Oxygen,Achara,11-Jul-09,mg/l,2.4,9691
Biochemical Oxygen,Achara,11-Jun-11,mg/l,4.3,9943
Biochemical Oxygen,Achara,11-Jun-16,mg/l,2.6,10770
Biochemical Oxygen,Achara,11-Nov-11,mg/l,3,10004
Biochemical Oxygen,Achara,11-Oct-09,mg/l,1.2,9728
Biochemical Oxygen,Achara,12-Apr-13,mg/l,2.1,10231
Biochemical Oxygen,Achara,12-Aug-10,mg/l,2.3,9834
Biochemical Oxygen,Achara,12-Dec-14,mg/l,2.3,10519
