location,measure_date,measure,unit,value
Boonsri,24-Jan-08,"1,2,3-Trichlorobenzene",µg/l,0.001
Boonsri,21-Feb-08,"1,2,3-Trichlorobenzene",µg/l,0.001
Kohsoom,23-Feb-08,"1,2,3-Trichlorobenzene",µg/l,0.0253
Boonsri,21-Mar-08,"1,2,3-Trichlorobenzene",µg/l,0.001
Kohsoom,23-Mar-08,"1,2,3-Trichlorobenzene",µg/l,0.001
Kohsoom,26-May-08,"1,2,3-Trichlorobenzene",µg/l,0.001
Boonsri,20-Jun-08,"1,2,3-Trichlorobenzene",µg/l,0.001
Kohsoom,29-Jun-08,"1,2,3-Trichlorobenzene",µg/l,0.001
Boonsri,11-Jul-08,"1,2,3-Trichlorobenzene",µg/l,0.001
Boonsri,25-Jul-08,"1,2,3-Trichlorobenzene",µg/l,0.001
Kohsoom,27-Jul-08,"1,2,3-Trichlorobenzene",µg/l,0.001
Boonsri,22-Aug-08,"1,2,3-Trichlorobenzene",µg/l,0.001
Boonsri,26-Sep-08,"1,2,3-Trichlorobenzene",µg/l,0.001
Kohsoom,28-Sep-08,"1,2,3-Trichlorobenzene",µg/l,0.001
Boonsri,24-Oct-08,"1,2,3-Trichlorobenzene",µg/l,0.001
Kohsoom,26-Oct-08,"1,2,3-Trichlorobenzene",µg/l,0.001
Kohsoom,27-Nov-08,"1,2,3-Trichlorobenzene",µg/l,0.001
Boonsri,28-Nov-08,"1,2,3-Trichlorobenzene",µg/l,0.001
Boonsri,29-Jan-09,"1,2,3-Trichlorobenzene",µg/l,0.001
Boonsri,27-Feb-09,"1,2,3-Trichlorobenzene",µg/l,0.001
Boonsri,19-Mar-09,"1,2,3-Trichlorobenzene",µg/l,0.001
Kohsoom,19-Mar-09,"1,2,3-Trichlorobenzene",µg/l,0.001
Boonsri,23-Apr-09,"1,2,3-Trichlorobenzene",µg/l,0.001
Boonsri,21-May-09,"1,2,3-Trichlorobenzene",µg/l,0.001
Kohsoom,28-May-09,"1,2,3-Trichlorobenzene",µg/l,0.001
Boonsri,25-Jun-09,"1,2,3-Trichlorobenzene",µg/l,0.001
Kohsoom,25-Jun-09,"1,2,3-Trichlorobenzene",µg/l,0.001
Boonsri,23-Jul-09,"1,2,3-Trichlorobenzene",µg/l,0.001
Kohsoom,30-Jul-09,"1,2,3-Trichlorobenzene",µg/l,0.001
Kohsoom,20-Aug-09,"1,2,3-Trichlorobenzene",µg/l,0.001
Boonsri,21-Aug-09,"1,2,3-Trichlorobenzene",µg/l,0.001
Boonsri,9-Sep-09,"1,2,3-Trichlorobenzene",µg/l,0.001
