location,sample date,"1,2,3-Trichlorobenzene","1,2,4-Trichlorobenzene",Acenaphthene,Acenaphthylene,AGOC-3A,Alachlor,Aldrin,alpha-Hexachlorocyclohexane,Aluminium,Ammonium,Anionic active surfactants,Anthracene,AOX,Arsenic,Atrazine,Barium,Benzo(a)anthracene,Benzo(a)pyrene,Benzo(b)fluoranthene,"Benzo(g,h,i)perylene",Benzo(k)fluoranthene,Berilium,beta-Hexaxchlorocyclohexane,Bicarbonates,Biochemical Oxygen,Boron,Cadmium,Calcium,Carbonates,Cesium,Chemical Oxygen Demand (Cr),Chemical Oxygen Demand (Mn),Chlorides,Chlorodinine,Chromium,Chrysene,Copper,Cyanides,Dieldrin,Dissolved organic carbon,Dissolved oxygen,Dissolved silicates,Endosulfan (alpha),Endosulfan (beta),Endrin,Fecal coliforms,Fecal streptococci,Fluoranthene,Fluorene,gamma-Hexachlorocyclohexane,Heptachlor,Heptachloroepoxide,Hexachlorobenzene,"Indeno(1,2,3-c,d)pyrene",Inorganic nitrogen,Iron,Isodrin,Lead,Macrozoobenthos,Magnesium,Manganese,Mercury,Methoxychlor,Methylosmoline,Metolachlor,Naphthalene,Nickel,Nitrates,Nitrites,Organic nitrogen,Orthophosphate-phosphorus,Oxygen saturation,"p,p-DDD","p,p-DDE","p,p-DDT",PAHs,PCB 101,PCB 118,PCB 138,PCB 153,PCB 180,PCB 28,PCB 52,Pentachlorobenzene,Petroleum hydrocarbons,Phenanthrene,Potassium,Pyrene,Selenium,Silica (SiO2),Simazine,Sodium,Sulfides,Sulphates,Tetrachloromethane,Total coliforms,Total dissolved phosphorus,Total dissolved salts,Total extractable matter,Total hardness,Total nitrogen,Total organic carbon,Total phosphorus,Trifluralin,Water temperature,Zinc,ID
Achara,04-Aug-11,,,,,,,,,,0.069,,,,,,,,,,,,,,,4.4,,,,,,10,3.2,,,,,,,,,6.6,3.82,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,0.036,0,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61,,0.285,,25,18,1
Achara,07-Apr-10,,,,,,,,,,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.659,,,,,,,,,,,,,1.037,,,,,,,,,,,,,1.00118,0.01216,0.53,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,,0.14,,,,2
Achara,07-Aug-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Achara,07-Dec-12,,,,,,,,,,0.107,,,,,,,,,,,,,,,2,,,,,,0,2.1,,,,,,,,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,0.015,0.2,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0.091,,8,,4
Achara,08-Apr-10,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.214,,,,,,,,,,,,,1.12548,0.01824,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,,0.16,,,,5
Achara,08-Aug-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Achara,08-Jul-10,,,,,,,,,,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.116,,,,,,,,,,,,,0.96954,0.0608,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46,,0.2,,,,7
Achara,08-Jul-12,,,,,,,,,,0.066,,,,,,,,,,,,,,,1.8,,,,,,10,4,,,,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65,0.049,0.06,0.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,,0.221,,22,,8
Achara,08-Oct-11,,,,,,,,,,0.078,,,,2.2,,,,,,,,,,,5.9,,0,,,,11,2.9,,,0,,4.3,,,,8.1,1.58,,,,,,,,,,,,,,,,1.1,,,,,,,,,0,0.46,0.013,0,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.062,,18,5,9
Achara,09-Dec-15,,,,,,,,,,0.18,,,,,0,,,,,,,,,,2.4,,,41.9,140.3,,5,,12.8,,,,,,,,12.1,2.8,,,,,,,,0,,,,,,,,,,4.4,0,0,,,,,,1.35,0.031,,0.012,92,,,0,,,,,,,,,,0,,3.1,,,,,12.4,,31.5,,,,,,122.8,1.61,2.25,0.025,,,,10
Achara,09-Jul-11,,,,,,,,,,0.028,,,,,,,,,,,,,,,1.6,,,,,,11,3.2,,,,,,,,,7.9,5.99,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.021,0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0.16,,23,12,11
Achara,09-Sep-10,,,,,,,,,,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.623,,,,,,,,,,,,,2.326,,,,,,,,,,,,,2.147,0.13984,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97,,0.58,,,,12
Achara,10-Apr-10,,,,,,,,,,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.574,,,,,,,,,,,,,1.742,,,,,,,,,,,,,1.69274,0.01824,0.78,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52,,0.25,,,,13
Achara,10-Dec-09,,,,,,,,,,0.234,,,,,,,,,,,,,,122,2.7,,,,,,5,4.3,,,,,,0.0025,,,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.987,0.012,0.1305,0.0684,,,,,,,,,,,,,,0.013,,,,,,,,,,,,,159,,,1.26,,0.11,,6,5,14
Achara,10-Dec-10,,,,,,,,,,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.126,,,,,,,,,,,,,0.93112,0.03952,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56,,0.22,,,,15
Achara,10-Dec-11,,,,,,,,,,0.089,,,,1.4,,,,,,,,,,,,,0,44.4,,,0,2.1,11.6,,0,,2.4,,,,11.7,,,,,,,,,,,,,,,,,2.5,,20.4,,0,,,,,0,1.93,0.018,0,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,,0.08,,1,7,16
Achara,10-Dec-12,,,,,,,,,,0.153,,,,0,,,,,,,,,,,2.6,,0.25,34.7,,,23,7.4,7.2,,0,,3.1,,,,12.4,,,,,,,,,,,,,,,,,2.4,,4.9,,0,,,,,0,0.48,0.045,0.27,0.231,,,,,,,,,,,,,,,,,,,18.3,,,,,,,,,,,1,,0.445,,5,25,17
Achara,10-Dec-16,,,,,,,,,,0.11,0,,,,0,,,,,,,,,105.6,1.2,,,30.9,,,13,2.4,7.5,,,,,,,,11.5,2.5,,,,,,,,0,,,,,,,,,,5.1,,0,,,,,,0.82,0.015,,0.022,94,,,0,,,,,,,,,,0,,2.5,,,,,7.7,,15.2,,,,,,98.3,1.35,,0.08,,7,,18
Achara,10-Feb-12,,,,,,,,,,0.275,,,,,,,,,,,,,,,2.4,,,,,,0,2.6,,,,,,,,,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.015,0.32,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,0.089,,3,,19
Achara,10-Sep-09,,,,,,,,,,0.132,,,,,,,,,,,,,,115.9,2.1,,,,,,7,0,,,,,,0.0025,,,8.7,5.23,,,,,,,,,,,,,,,,,,,,,,,,,,1.984,0.042,0.608,0.143,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,176,,,2.7,,0.28,,17,5,20
Achara,11-Aug-11,,,,,,,,,,0.027,,,,2.4,,,,,,,,,,,3.5,,0,37,,,0,1.7,10.4,,1.1,,2,,,,9.4,2.24,,,,,,,,,,,,,,,,1,,5.6,,0,,,,,1,1.28,0.034,0,0.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,0.174,,25,5,21
Achara,11-Dec-10,,,,,,,,,,0.155,,,,0.5,,,,,,,,,,,2.7,,0.25,40.1,,,9,3.1,9.2,,,,4.2,,,,11.4,,,,,,,,,,,,,,1.189,,,1.3,,6,,1,,,,,,1.01248,0.02128,0.24,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,,0.31,,4,10,22
Achara,11-Feb-10,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.327,,,,,,,,,,,,,1.178,,,,,,,,,,,,,1.08028,0.02736,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,,0.2,,,,23
Achara,11-Feb-11,,,,,,,,,,0.216,,,,1,,,,,,,,,,,2.4,,0.5,,,,8,2.6,,,,,1.2,,,,13,7.41,,,,,,,,,,,,,,,,1,,,,,,,,,,1.14,0.018,0,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45,,0.056,,5,4,24
